Dataset,Ranker,Oracle,K,Budget,NDCG,Comparisons
dl-2019,bm25,Sampling,20,250,0.49135,0
dl-2019,bm25,Sampling,20,300,0.49135,0
dl-2019,bm25,Sampling,20,350,0.49135,0
dl-2019,bm25,Sampling,20,400,0.49135,0
dl-2019,bm25,Sampling,20,450,0.49135,0
dl-2019,bm25,Sampling,20,500,0.49135,0
dl-2019,bm25,Sampling,30,100,0.48838,0
dl-2019,bm25,Sampling,30,150,0.48838,0
dl-2019,bm25,Sampling,30,200,0.48838,0
dl-2019,bm25,Sampling,30,250,0.48838,0
dl-2019,bm25,Sampling,30,300,0.48838,0
dl-2019,bm25,Sampling,30,350,0.48838,0
dl-2019,bm25,Sampling,30,400,0.48838,0
dl-2019,bm25,Sampling,30,450,0.48838,0
dl-2019,bm25,Sampling,30,500,0.48838,0
dl-2019,bm25,Sampling,40,100,0.49201,0
dl-2019,bm25,Sampling,40,150,0.49201,0
dl-2019,bm25,Sampling,40,200,0.49201,0
dl-2019,bm25,Sampling,40,250,0.49201,0
dl-2019,bm25,Sampling,40,300,0.49201,0
dl-2019,bm25,Sampling,40,350,0.49201,0
dl-2019,bm25,Sampling,40,400,0.49201,0
dl-2019,bm25,Sampling,40,450,0.49201,0
dl-2019,bm25,Sampling,40,500,0.49201,0
dl-2019,bm25,Sampling,50,100,0.49005,0
dl-2019,bm25,Sampling,50,150,0.49005,0
dl-2019,bm25,Sampling,50,200,0.49005,0
dl-2019,bm25,Sampling,50,250,0.49005,0
dl-2019,bm25,Sampling,50,300,0.49005,0
dl-2019,bm25,Sampling,50,350,0.49005,0
dl-2019,bm25,Sampling,50,400,0.49005,0
dl-2019,bm25,Sampling,50,450,0.49005,0
dl-2019,bm25,Sampling,50,500,0.49005,0
dl-2020,mohajer (ir),Sampling,10,100,0.59952,20000
dl-2020,mohajer (ir),Sampling,10,150,0.65057,30000
dl-2020,mohajer (ir),Sampling,10,200,0.67663,40000
dl-2020,mohajer (ir),Sampling,10,250,0.67625,46368
dl-2020,mohajer (ir),Sampling,10,300,0.67625,46368
dl-2020,mohajer (ir),Sampling,10,350,0.67625,46368
dl-2020,mohajer (ir),Sampling,10,400,0.67625,46368
dl-2020,mohajer (ir),Sampling,10,450,0.67625,46368
dl-2020,mohajer (ir),Sampling,10,500,0.67625,46368
dl-2020,mohajer (ir),Sampling,20,100,0.51219,20000
dl-2020,mohajer (ir),Sampling,20,150,0.57089,30000
dl-2020,mohajer (ir),Sampling,20,200,0.61295,40000
dl-2020,mohajer (ir),Sampling,20,250,0.62376,46368
dl-2020,mohajer (ir),Sampling,20,300,0.62376,46368
dl-2020,mohajer (ir),Sampling,20,350,0.62376,46368
dl-2020,mohajer (ir),Sampling,20,400,0.62376,46368
dl-2020,mohajer (ir),Sampling,20,450,0.62376,46368
dl-2020,mohajer (ir),Sampling,20,500,0.62376,46368
dl-2020,mohajer (ir),Sampling,30,100,0.48431,20000
dl-2020,mohajer (ir),Sampling,30,150,0.53584,30000
dl-2020,mohajer (ir),Sampling,30,200,0.56374,40000
dl-2020,mohajer (ir),Sampling,30,250,0.5763,46368
dl-2020,mohajer (ir),Sampling,30,300,0.5763,46368
dl-2020,mohajer (ir),Sampling,30,350,0.5763,46368
dl-2020,mohajer (ir),Sampling,30,400,0.5763,46368
dl-2020,mohajer (ir),Sampling,30,450,0.5763,46368
dl-2020,mohajer (ir),Sampling,30,500,0.5763,46368
dl-2020,mohajer (ir),Sampling,40,100,0.48227,20000
dl-2020,mohajer (ir),Sampling,40,150,0.52774,30000
dl-2020,mohajer (ir),Sampling,40,200,0.54303,40000
dl-2020,mohajer (ir),Sampling,40,250,0.55574,46368
dl-2020,mohajer (ir),Sampling,40,300,0.55574,46368
dl-2020,mohajer (ir),Sampling,40,350,0.55574,46368
dl-2020,mohajer (ir),Sampling,40,400,0.55574,46368
dl-2020,mohajer (ir),Sampling,40,450,0.55574,46368
dl-2020,mohajer (ir),Sampling,40,500,0.55574,46368
dl-2020,mohajer (ir),Sampling,50,100,0.48445,20000
dl-2020,mohajer (ir),Sampling,50,150,0.52998,30000
dl-2020,mohajer (ir),Sampling,50,200,0.54277,40000
dl-2020,mohajer (ir),Sampling,50,250,0.55117,46368
dl-2020,mohajer (ir),Sampling,50,300,0.55117,46368
dl-2020,mohajer (ir),Sampling,50,350,0.55117,46368
dl-2020,mohajer (ir),Sampling,50,400,0.55117,46368
dl-2020,mohajer (ir),Sampling,50,450,0.55117,46368
dl-2020,mohajer (ir),Sampling,50,500,0.55117,46368
dl-2020,bubble sort (classic),Sampling,10,100,0.55228,20000
dl-2020,bubble sort (classic),Sampling,10,150,0.55308,30000
dl-2020,bubble sort (classic),Sampling,10,200,0.59025,40000
dl-2020,bubble sort (classic),Sampling,10,250,0.58448,50000
dl-2020,bubble sort (classic),Sampling,10,300,0.613,60000
dl-2020,bubble sort (classic),Sampling,10,350,0.6178,70000
dl-2020,bubble sort (classic),Sampling,10,400,0.63352,80000
dl-2020,bubble sort (classic),Sampling,10,450,0.6437,90000
dl-2020,bubble sort (classic),Sampling,10,500,0.65877,100000
dl-2020,bubble sort (classic),Sampling,20,100,0.52422,20000
dl-2020,bubble sort (classic),Sampling,20,150,0.52637,30000
dl-2020,bubble sort (classic),Sampling,20,200,0.55759,40000
dl-2020,bubble sort (classic),Sampling,20,250,0.54985,50000
dl-2020,bubble sort (classic),Sampling,20,300,0.57177,60000
dl-2020,bubble sort (classic),Sampling,20,350,0.57395,70000
dl-2020,bubble sort (classic),Sampling,20,400,0.58931,80000
dl-2020,bubble sort (classic),Sampling,20,450,0.59267,90000
dl-2020,bubble sort (classic),Sampling,20,500,0.60388,100000
dl-2020,bubble sort (classic),Sampling,30,100,0.51379,20000
dl-2020,bubble sort (classic),Sampling,30,150,0.51553,30000
dl-2020,bubble sort (classic),Sampling,30,200,0.53792,40000
dl-2020,bubble sort (classic),Sampling,30,250,0.53146,50000
dl-2020,bubble sort (classic),Sampling,30,300,0.54985,60000
dl-2020,bubble sort (classic),Sampling,30,350,0.55154,70000
dl-2020,bubble sort (classic),Sampling,30,400,0.56766,80000
dl-2020,bubble sort (classic),Sampling,30,450,0.57012,90000
dl-2020,bubble sort (classic),Sampling,30,500,0.58075,100000
dl-2020,bubble sort (classic),Sampling,40,100,0.50947,20000
dl-2020,bubble sort (classic),Sampling,40,150,0.51005,30000
dl-2020,bubble sort (classic),Sampling,40,200,0.5325,40000
dl-2020,bubble sort (classic),Sampling,40,250,0.52795,50000
dl-2020,bubble sort (classic),Sampling,40,300,0.54731,60000
dl-2020,bubble sort (classic),Sampling,40,350,0.55113,70000
dl-2020,bubble sort (classic),Sampling,40,400,0.56219,80000
dl-2020,bubble sort (classic),Sampling,40,450,0.56762,90000
dl-2020,bubble sort (classic),Sampling,40,500,0.57211,100000
dl-2020,bubble sort (classic),Sampling,50,100,0.51243,20000
dl-2020,bubble sort (classic),Sampling,50,150,0.51921,30000
dl-2020,bubble sort (classic),Sampling,50,200,0.53247,40000
dl-2020,bubble sort (classic),Sampling,50,250,0.53304,50000
dl-2020,bubble sort (classic),Sampling,50,300,0.54369,60000
dl-2020,bubble sort (classic),Sampling,50,350,0.55029,70000
dl-2020,bubble sort (classic),Sampling,50,400,0.55707,80000
dl-2020,bubble sort (classic),Sampling,50,450,0.56191,90000
dl-2020,bubble sort (classic),Sampling,50,500,0.56698,100000
dl-2020,bm25,Sampling,10,100,0.47964,0
dl-2020,bm25,Sampling,10,150,0.47964,0
dl-2020,bm25,Sampling,10,200,0.47964,0
dl-2020,bm25,Sampling,10,250,0.47964,0
dl-2020,bm25,Sampling,10,300,0.47964,0
dl-2020,bm25,Sampling,10,350,0.47964,0
dl-2020,bm25,Sampling,10,400,0.47964,0
dl-2020,bm25,Sampling,10,450,0.47964,0
dl-2020,bm25,Sampling,10,500,0.47964,0
dl-2020,bm25,Sampling,20,100,0.47208,0
dl-2020,bm25,Sampling,20,150,0.47208,0
dl-2020,bm25,Sampling,20,200,0.47208,0
dl-2020,bm25,Sampling,20,250,0.47208,0
dl-2020,bm25,Sampling,20,300,0.47208,0
dl-2020,bm25,Sampling,20,350,0.47208,0
dl-2020,bm25,Sampling,20,400,0.47208,0
dl-2020,bm25,Sampling,20,450,0.47208,0
dl-2020,bm25,Sampling,20,500,0.47208,0
dl-2020,bm25,Sampling,30,100,0.46992,0
dl-2020,bm25,Sampling,30,150,0.46992,0
dl-2020,bm25,Sampling,30,200,0.46992,0
dl-2020,bm25,Sampling,30,250,0.46992,0
dl-2020,bm25,Sampling,30,300,0.46992,0
dl-2020,bm25,Sampling,30,350,0.46992,0
dl-2020,bm25,Sampling,30,400,0.46992,0
dl-2020,bm25,Sampling,30,450,0.46992,0
dl-2020,bm25,Sampling,30,500,0.46992,0
dl-2020,bm25,Sampling,40,100,0.46792,0
dl-2020,bm25,Sampling,40,150,0.46792,0
dl-2020,bm25,Sampling,40,200,0.46792,0
dl-2020,bm25,Sampling,40,250,0.46792,0
dl-2020,bm25,Sampling,40,300,0.46792,0
dl-2020,bm25,Sampling,40,350,0.46792,0
dl-2020,bm25,Sampling,40,400,0.46792,0
dl-2020,bm25,Sampling,40,450,0.46792,0
dl-2020,bm25,Sampling,40,500,0.46792,0
dl-2020,bm25,Sampling,50,100,0.47303,0
dl-2020,bm25,Sampling,50,150,0.47303,0
dl-2020,bm25,Sampling,50,200,0.47303,0
dl-2020,bm25,Sampling,50,250,0.47303,0
dl-2020,bm25,Sampling,50,300,0.47303,0
dl-2020,bm25,Sampling,50,350,0.47303,0
dl-2020,bm25,Sampling,50,400,0.47303,0
dl-2020,bm25,Sampling,50,450,0.47303,0
dl-2020,bm25,Sampling,50,500,0.47303,0
