Model,Dataset,Ranker,Oracle,Avg_NDCG@10,Avg_Comparisons,Avg_PromptTokens
qwen3-0.6b,dl-2019,bubble sort (classic),bidirectional,0.5058306976744187,523.7209302325581,102.56376423563796
qwen3-0.6b,dl-2019,bubble sort (classic),sampling,0.5058306976744187,261.86046511627904,102.56376423563796
qwen3-0.6b,dl-2019,mohajer (ir),bidirectional,0.2203560465116279,740.3720930232558,101.35342164983155
qwen3-0.6b,dl-2019,mohajer (ir),sampling,0.2203560465116279,520.5348837209302,102.30589851621816
qwen3-0.6b,dl-2019,mohajer + bubble,bidirectional,0.2203560465116279,750.3720930232558,103.31232493552392
qwen3-0.6b,dl-2019,mohajer + bubble,sampling,0.2203560465116279,539.5348837209302,104.72503135831482
qwen3-0.6b,dl-2019,pac + bubble,bidirectional,0.5058306976744187,298.0,247.13500858436083
qwen3-0.6b,dl-2019,pac + bubble,sampling,0.5058306976744187,154.0,247.16233766233765
qwen3-0.6b,dl-2019,pac top-k (optimized),bidirectional,0.5058306976744187,290.0,247.16583801122692
qwen3-0.6b,dl-2019,pac top-k (optimized),sampling,0.5058306976744187,145.0,247.16583801122692
qwen3-0.6b,dl-2019,prp sort (classic),bidirectional,0.26334976744186045,1565.1627906976744,101.80895176715954
qwen3-0.6b,dl-2019,prp sort (classic),sampling,0.26334976744186045,782.5813953488372,101.80895176715954
qwen3-0.6b,dl-2019,quick sort (classic),bidirectional,0.2897593023255814,78944.51162790698,46.368595565909665
qwen3-0.6b,dl-2019,quick sort (classic),sampling,0.2897593023255814,39472.25581395349,46.368595565909665
qwen3-0.6b,dl-2020,bubble sort (classic),bidirectional,0.4796368518518519,513.8148148148148,23.251465631995703
qwen3-0.6b,dl-2020,bubble sort (classic),sampling,0.4796368518518519,256.9074074074074,23.251465631995703
qwen3-0.6b,dl-2020,mohajer (ir),bidirectional,0.1250675925925926,730.925925925926,23.368868302173993
qwen3-0.6b,dl-2020,mohajer (ir),sampling,0.1250675925925926,515.9814814814815,23.101759758482277
qwen3-0.6b,dl-2020,mohajer + bubble,bidirectional,0.1250675925925926,740.925925925926,23.79370875016348
qwen3-0.6b,dl-2020,mohajer + bubble,sampling,0.1250675925925926,534.9814814814815,23.737664320836885
qwen3-0.6b,dl-2020,pac + bubble,bidirectional,0.4796368518518519,298.0,53.995152870991795
qwen3-0.6b,dl-2020,pac + bubble,sampling,0.4796368518518519,154.0,53.93638768638769
