Ranker,Oracle,DisplayRanker,Dataset,Comparisons,NDCG@10,Budget
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,2500,0.48983,50
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,5000,0.48983,100
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,7500,0.48983,150
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,10000,0.73588,200
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,12500,0.72847,250
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,15000,0.73333,300
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,17500,0.75444,350
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,19578,0.75741,400
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,19882,0.75741,450
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,19882,0.75741,500
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,19882,0.75741,550
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,19882,0.75741,600
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,19882,0.75741,650
mohajer (ir),Bidirectional,mohajer (ir) [Bidirectional],trec-covid,19882,0.75741,700
mohajer (ir),Sampling,mohajer (ir) [Sampling],trec-covid,2500,0.48983,50
